UA,Under Armour Class C,stock
UAA,Under Armour Class A,stock
UAL,United Continental Holdings,stock
UBER,Uber Technologies Inc.,stock
UDR,UDR Inc,stock
UI,Ubiquiti Inc.,stock
ULTA,Ulta Salon Cosmetics & Fragrance Inc,stock
UMC,United Microelectronics Corporation,stock
UNH,United Health Group Inc.,stock
UNM,Unum Group,stock
UNP,Union Pacific,stock
UPS,United Parcel Service,stock
UPWK,Upwork Inc. Common Stock,stock
URI,"United Rentals, Inc.",stock
USB,U.S. Bancorp,stock
V,Visa Inc.,stock
VFC,V.F. Corp.,stock
VLO,Valero Energy,stock
VMC,Vulcan Materials,stock
VMW,VMware Inc.,stock
VNO,Vornado Realty Trust,stock
VRSK,Verisk Analytics,stock
VRTX,Vertex Pharmaceuticals Inc,stock
VTR,Ventas Inc,stock
VZ,Verizon Communications,stock
WBA,Walgreens Boots Alliance,stock
WDAY,Workday Inc.,stock
WDC,Western Digital,stock
WEC,Wec Energy Group Inc,stock
WFC,Wells Fargo,stock
WHR,Whirlpool Corp.,stock
WIT,Wipro Limited,stock
WLTW,Willis Towers Watson,stock
WM,Waste Management Inc.,stock
WMB,Williams Cos.,stock
WMT,Wal-Mart Stores,stock
WORK,Slack Technologies Inc.,stock
WRK,WestRock Company,stock
WU,Western Union Co,stock
WY,Weyerhaeuser Corp.,stock
WYNN,Wynn Resorts Ltd,stock
XEC,Cimarex Energy,stock
XEL,Xcel Energy Inc,stock
XL,XL Capital,stock
XLNX,Xilinx Inc,stock
XOM,Exxon Mobil Corp.,stock
XRX,Xerox Corp.,stock
XYL,Xylem Inc.,stock
YUM,Yum! Brands Inc,stock
ZBH,Zimmer Biomet Holdings,stock
ZBRA,Zebra Technologies Corporation,stock
ZEN,Zendesk Inc.,stock
ZI,ZoomInfo Technologies Inc.,stock
ZION,Zions Bancorp,stock
ZS,Zscaler Inc.,stock
ZTS,Zoetis,stock
LKNCY,Luckin Coffee,stock
ARKG,ARK Genomic Revolution ETF,etf
ARKK,ARK Innovation ETF,etf
ARKQ,ARK Autonomous Technology & Robotics ETF,etf
ARKW,ARK Next Generation Internet ETF,etf
PRNT,The 3D Printing ETF,etf
SPY,SPDR S&P 500 ETF Trust,etf
SPYG,SPDR Portfolio S&P 500 Growth ETF,etf
VOO,Vanguard S&P 500 ETF,etf
VTI,Vanguard Total Stock Market Index Fund ETF Shares,etf
qqq,,etf
